priority,priority_reasons,missing_fields,source_type,file_ext,doc_id,sha256,file_name,title,source_url,attachment_url,column,publisher,publish_date,doc_no,business_domain,regulatory_topic,source_site,version_status,effective_date,expiry_date,supersedes_doc_id,superseded_by_doc_id,version_group
2555,eval_hit:25;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_002,,002_2026年2月全国各地区原保险保费收入情况表_2026年2月全国各地区原保险保费收入情况表.xls,2026年2月全国各地区原保险保费收入情况表,,,监管统计数据,国家金融监督管理总局,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
1475,eval_hit:14;regulation_text;missing_source;unknown_version;has_doc_no,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_398,,398_财政部办公厅_金融监管总局办公厅关于印发《银行函证工作操作指引》的通知_银行函证工作操作指引.pdf,银行函证工作操作指引,,,,金融监管总局办公厅、财政部办公厅、财政部,,财会〔2022〕39号,银行函证,函证,,unknown,,,,,
1275,eval_hit:12;regulation_text;missing_source;unknown_version;has_doc_no,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,word,.docx,nfra_397,,397_财政部办公厅_金融监管总局办公厅关于印发《银行函证工作操作指引》的通知_银行函证工作操作指引.docx,银行函证工作操作指引,,,,金融监管总局办公厅、财政部办公厅、财政部,,财会〔2022〕39号,银行函证,函证,,unknown,,,,,
1065,eval_hit:10;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,word,.doc,nfra_390,,390_国家金融监督管理总局关于印发银行保险机构数据安全管理办法的通知_附件：数据安全事件分级.doc,附件：数据安全事件分级,,,,国家金融监督管理总局,,,消费者权益保护,投诉,,unknown,,,,,
775,eval_hit:7;regulation_text;missing_source;unknown_version;has_doc_no,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_361,,361_2013年至2017年6月国内21家主要银行绿色信贷数据_绿色信贷统计信息披露说明-中文.pdf,绿色信贷统计信息披露说明-中文,,,,银监会,,银监办发〔2013〕185号,监管统计,统计,,unknown,,,,,
755,eval_hit:7;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_012,,012_2025年商业银行主要监管指标情况表_2025年商业银行主要监管指标情况表.xls,2025年商业银行主要监管指标情况表,,,监管统计数据,国家金融监督管理总局,,,监管统计,商业银行主要监管指标,,unknown,,,,,
665,eval_hit:6;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_362,,362_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201306）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201306）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
665,eval_hit:6;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_363,,363_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201312）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201312）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
655,eval_hit:6;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_001,,001_2026年银行业总资产、总负债（月度）_2026年银行业总资产、总负债（月度）.xls,2026年银行业总资产、总负债（月度）,,,监管统计数据,国家金融监督管理总局,,,监管统计,银行业总资产,,unknown,,,,,
455,eval_hit:4;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_070,,070_2024年商业银行主要监管指标情况表（季度）_2024年商业银行主要监管指标情况表.xls,2024年商业银行主要监管指标情况表,,,监管统计数据,国家金融监督管理总局,,,监管统计,商业银行主要监管指标,,unknown,,,,,
355,eval_hit:3;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_003,,003_2026年2月人身险公司经营情况表_2026年2月人身险公司经营情况表.xls,2026年2月人身险公司经营情况表,,,监管统计数据,国家金融监督管理总局,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
255,eval_hit:2;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_004,,004_2026年2月财产险公司经营情况表_2026年2月财产险公司经营情况表.xls,2026年2月财产险公司经营情况表,,,监管统计数据,国家金融监督管理总局,,,保险经营统计,财产险公司经营情况表,,unknown,,,,,
255,eval_hit:2;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_007,,007_2026年1月人身险公司经营情况表_2026年1月人身险公司经营情况表.xls,2026年1月人身险公司经营情况表,,,监管统计数据,国家金融监督管理总局,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
255,eval_hit:2;stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_008,,008_2026年1月财产险公司经营情况表_2026年1月财产险公司经营情况表.xls,2026年1月财产险公司经营情况表,,,监管统计数据,国家金融监督管理总局,,,保险经营统计,财产险公司经营情况表,,unknown,,,,,
180,eval_hit:1;regulation_text;missing_source;unknown_version;has_doc_no;has_publish_date,source_url;attachment_url;source_site;version_status;version_group;effective_date,pdf,.pdf,nfra_389,,389_国家金融监督管理总局关于印发《金融机构非集中清算衍生品交易保证金管理办法》的通知_国家金融监督管理总局关于印发《金融机构非集中清算衍生品交易保证金.pdf,国家金融监督管理总局关于印发《金融机构非集中清算衍生品交易保证金,,,,国家金融监督管理总局,2024-12-30,金规〔2024〕25号,资本管理,资本,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_364,,364_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201406）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201406）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_365,,365_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201412）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201412）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_366,,366_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201506）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201506）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_367,,367_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201512）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201512）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_368,,368_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201606）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201606）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_369,,369_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201612）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201612）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_370,,370_2013年至2017年6月国内21家主要银行绿色信贷数据_21家国内主要银行绿色信贷统计数据汇总表（201706）CN.p.pdf,21家国内主要银行绿色信贷统计数据汇总表（201706）CN.p,,,,,,,监管统计,统计,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_373,,373_2015中国保险市场年报（中文)_2015中国保险市场年报（中文).pdf,2015中国保险市场年报（中文),,,,国务院,,,风险管理,风险管理,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,word,.doc,nfra_385,,385_国家金融监督管理总局关于印发《保险公司资本保证金管理办法》的通知_附件：保险公司资本保证金处置情况报告表.doc,附件：保险公司资本保证金处置情况报告表,,,,国家金融监督管理总局,,,资本管理,资本,,unknown,,,,,
165,eval_hit:1;regulation_text;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,pdf,.pdf,nfra_386,,386_国家金融监督管理总局_国家知识产权局_国家版权局关于印发《知识产权金融生态综合试点工作方案》的通知_知识产权金融生态综合试点工作方案.pdf,知识产权金融生态综合试点工作方案,,,,国家金融监督管理总局、国务院,,,绿色金融,绿色金融,,unknown,,,,,
